AreaCode,Region,RegionCode,Year,Value
E92000001,England,99,2002,452.1963582
E92000001,England,99,2003,439.2081973
E92000001,England,99,2004,425.7987655
E92000001,England,99,2005,411.6483963
E92000001,England,99,2006,400.5528137
E92000001,England,99,2007,391.3344913
E92000001,England,99,2008,380.2596398
E92000001,England,99,2009,370.5130303
E92000001,England,99,2010,358.8907584
E92000001,England,99,2011,349.9451633
E92000001,England,99,2012,342.4938632
E92000001,England,99,2013,337.129802
E92000001,England,99,2014,334.9654432
E92000001,England,99,2015,333.8404528
E92000001,England,99,2016,331.9477837
E92000001,England,99,2017,330.4850407
E92000001,England,99,2018,325.9710916
E12000001,North East region,1,2002,531.8404176
E12000001,North East region,1,2003,519.2550884
E12000001,North East region,1,2004,501.9506775
E12000001,North East region,1,2005,486.1923033
E12000001,North East region,1,2006,467.1416132
E12000001,North East region,1,2007,458.5335422
E12000001,North East region,1,2008,442.0587937
E12000001,North East region,1,2009,428.6616509
E12000001,North East region,1,2010,416.0186262
E12000001,North East region,1,2011,408.4328365
E12000001,North East region,1,2012,402.2960016
E12000001,North East region,1,2013,400.5416335
E12000001,North East region,1,2014,399.8186152
E12000001,North East region,1,2015,402.2326993
E12000001,North East region,1,2016,396.1017237
E12000001,North East region,1,2017,394.7361663
E12000001,North East region,1,2018,391.9328419
E12000002,North West region,2,2002,524.1499042
E12000002,North West region,2,2003,509.5237004
E12000002,North West region,2,2004,496.2775238
E12000002,North West region,2,2005,481.3912449
E12000002,North West region,2,2006,470.43532
E12000002,North West region,2,2007,460.9175317
E12000002,North West region,2,2008,449.7497351
E12000002,North West region,2,2009,438.2759831
E12000002,North West region,2,2010,424.1589548
E12000002,North West region,2,2011,412.3850542
E12000002,North West region,2,2012,402.3112994
E12000002,North West region,2,2013,395.9332664
E12000002,North West region,2,2014,394.0749451
E12000002,North West region,2,2015,394.2198125
E12000002,North West region,2,2016,391.3382615
E12000002,North West region,2,2017,388.3946838
E12000002,North West region,2,2018,382.7383568
E12000003,Yorkshire and the Humber region,3,2002,475.8858426
E12000003,Yorkshire and the Humber region,3,2003,462.4519204
E12000003,Yorkshire and the Humber region,3,2004,448.6659003
E12000003,Yorkshire and the Humber region,3,2005,436.0762976
E12000003,Yorkshire and the Humber region,3,2006,427.3133741
E12000003,Yorkshire and the Humber region,3,2007,420.3568811
E12000003,Yorkshire and the Humber region,3,2008,410.167471
E12000003,Yorkshire and the Humber region,3,2009,400.1214232
E12000003,Yorkshire and the Humber region,3,2010,389.7301074
E12000003,Yorkshire and the Humber region,3,2011,381.2041096
E12000003,Yorkshire and the Humber region,3,2012,373.2702255
E12000003,Yorkshire and the Humber region,3,2013,365.7292327
E12000003,Yorkshire and the Humber region,3,2014,362.8460675
E12000003,Yorkshire and the Humber region,3,2015,362.1719998
E12000003,Yorkshire and the Humber region,3,2016,362.2828345
E12000003,Yorkshire and the Humber region,3,2017,363.1819269
E12000003,Yorkshire and the Humber region,3,2018,361.1953952
E12000004,East Midlands region,4,2002,450.3593293
E12000004,East Midlands region,4,2003,440.8549525
E12000004,East Midlands region,4,2004,427.2670445
E12000004,East Midlands region,4,2005,410.6177886
E12000004,East Midlands region,4,2006,399.4550141
E12000004,East Midlands region,4,2007,390.3538564
E12000004,East Midlands region,4,2008,382.8544036
E12000004,East Midlands region,4,2009,374.1535658
E12000004,East Midlands region,4,2010,362.4436129
E12000004,East Midlands region,4,2011,352.2099576
